snapshot_id,topology_id,timestep,time_of_day,diurnal_factor,flash_event,flash_multiplier,traffic_profile,network_load_mbps,avg_utilization,max_utilization,queue_model
topology_431_t00,431,0,0.0,0.7,1,2.634271331531165,web,11626.2072760982,0.5434960812657684,1.2,mm1
topology_431_t01,431,1,2.0,0.7301442841485013,0,1.0,bulk,11348.589112085032,0.5358824265518117,1.2,mm1
topology_431_t02,431,2,4.0,0.8125,0,1.0,video,10178.719648904613,0.5092844542358625,1.2,mm1
topology_431_t03,431,3,6.0,0.9249999999999999,0,1.0,bulk,14409.055958085595,0.5961117423876838,1.2,mm1
topology_431_t04,431,4,8.0,1.0374999999999999,0,1.0,web,6369.130944027504,0.3942086664105634,1.2,mm1
topology_431_t05,431,5,10.0,1.1198557158514988,1,2.7901961514698237,web,19416.50147612456,0.6767093516406645,1.2,mm1
topology_431_t06,431,6,12.0,1.15,1,2.0819028634935277,web,15234.476814222195,0.6109556396791181,1.2,mm1
topology_431_t07,431,7,14.0,1.1198557158514988,0,1.0,web,6956.999667832601,0.4144667693820264,1.2,mm1
topology_431_t08,431,8,16.0,1.0375,0,1.0,bulk,16225.364158902219,0.6266041403886246,1.2,mm1
topology_431_t09,431,9,18.0,0.925,0,1.0,bulk,14414.016261727676,0.5955330907019938,1.2,mm1
topology_431_t10,431,10,20.0,0.8124999999999999,0,1.0,bulk,12692.926378910812,0.562481074381997,1.2,mm1
topology_431_t11,431,11,22.0,0.7301442841485013,0,1.0,bulk,11264.590475700954,0.5357712448665756,1.2,mm1
