node_id,router_type,capacity_mbps,x_coord,y_coord,domain_id
0,edge,1000.0,0.2001,0.1788,0
1,core,250.0,0.7599,0.2512,1
2,edge,100.0,0.9384,0.4893,0
3,edge,250.0,0.7926,0.7883,1
4,edge,250.0,0.1523,0.6606,0
5,gateway,500.0,0.083,0.7167,1
6,gateway,100.0,0.469,0.4026,0
7,edge,100.0,0.4252,0.3625,1
8,gateway,100.0,0.4621,0.9002,0
9,gateway,1000.0,0.9767,0.3575,1
10,core,250.0,0.7475,0.4417,0
11,core,250.0,0.0371,0.0233,1
12,edge,1000.0,0.0812,0.4254,0
13,core,250.0,0.3098,0.0057,1
14,edge,250.0,0.5234,0.2008,0
15,core,250.0,0.443,0.5455,1
